NameTitle,CDFirstName,CDLastName,EduBackGround,Career,PartyName
พลตรี,ทรงกลด,ทิพย์รัตน์,สำเร็จการศึกษาโรงเรียนเตรียมทหาร,หัวหน้าพรรคพลังชาติไทย,พลังชาติไทย
นาย,ชัชวาลล์,คงอุดม,สำเร็จการศึกษาระดับมัธยมโรงเรียนช่างอากาศบำรุง,นักธุุรกิจ,พลังท้องถิ่นไท
ศาสตราจารย์,โกวิทย์,พวงงาม,สำเร็จการศึกษาจากคณะศึกษาศาสตร์ (ศษ.บ.) มหาวิทยาลัยศิลปากร,กรรมการพิจารณารางวัลพระปกเกล้าด้านการปกครองท้องถิ่นที่มีความเป็นเลิศ ด้านการมีส่วนร่วมและความโปร่งใส,พลังท้องถิ่นไท
นาย,สาธุ,อนุโมทามิ,NULL,หัวหน้าพรรคพลังไทยดี,พลังไทยดี
พลเอก,ธรรมรักษ์,อิศรางกูร ณ อยุธยา,สำเร็จการศึกษาจากโรงเรียนนายร้อยพระจุลจอมเกล้า รุ่น 10 ,สมาชิกพรรคพลังไทยรักไทย,พลังไทยรักไทย
นาย,คฑาเทพ,เตชะเดชเรืองกุล,NULL,หัวหน้าพรรคพลังไทยรักไทย,พลังไทยรักไทย
นาย,พูนพิพัฒน์,นิลรังสี,สำเร็จการศึกษาจากสถาบันพระปกเกล้า,นักธุรกิจ ,พลังประชาธิปไตย
พลเอก,ประยุทธ์,จันทร์โอชา,สำเร็จการศึกษาโรงเรียนเตรียมทหาร รุ่นที่ 12 (ตท.12) ,นายกรัฐมนตรีคนปัจจุบัน,พลังประชารัฐ
นาย,วิฑูรย์,ชลายนนาวิน,NULL,หัวหน้าพรรคพลังสังคม,พลังสังคม
นาย,ศิลปิน,หาญผดุงธรรมะ,สำเร็จการศึกษาระดับปริญญาตรีวิศวกรรมศาสตรบัณฑิต สาขาวิศวกรรมไฟฟ้า (เกียรตินิยม)  จุฬาลงกรณ์มหาวิทยาลัย,คณะกรรมการการวางแผนและพัฒนาบุคลากรทางด้านการบิน สถาบันการบินพลเรือนแห่งประเทศไทย,พัฒนาประเทศไทย
นาย,วิทยา,อินาลา,สำเร็จการศึกษาระดับปริญญาตรีการศึกษาบัณฑิต การสอนเคมี ม.ศรีนครินทรวิโรฒ มหาสารคาม,หัวหน้าพรรคเพื่อคนไทย,เพื่อคนไทย
นาย,กฤติวัฒน์,กลางชัย,สำเร็จการศึกษาจากโรงเรียนสาธิตมหาวิทยาลัยราชภัฏอุตรดิตถ์,นายกสมาคมสมาพันธ์ข่าวอาสา แห่งประเทศไทย,เพื่อชีวิตใหม่
คุณหญิง,สุดารัตน์,เกยุราพันธุ์,สำเร็จการศึกษาระดับปริญญาตรี ด้านการตลาด คณะพาณิชยศาสตร์และการบัญชี จุฬาลงกรณ์มหาวิทยาลัย,ประธานยุทธศาสตร์การเลือกตั้งของพรรคเพื่อไทย,เพื่อไทย
นาย,ชัชชาติ,สิทธิพันธุ์,สำเร็จการศึกษาระดับปริญญาตรีวิศวกรรมศาสตรบัณฑิต สาขาวิศวกรรมโยธา (เกียรตินิยมอันดับ 1) จุฬาลงกรณ์มหาวิทยาลัย,ประธานคณะกรรมการบริหารความเสี่ยง บมจ. แลนด์ แอนด์ เฮ้าส์,เพื่อไทย
นาย,ชัยเกษม,นิติสิริ,สำเร็จการศึกษาระดับปริญญาตรีแผนกนิติศาสตร์ คณะรัฐศาสตร์ (เกียรตินิยมอันดับ 2) จุฬาลงกรณ์มหาวิทยาลัย,สมาชิกพรรคเพื่อไทย,เพื่อไทย
นาง,นลินี,ทวีสิน,สำเร็จการศึกษาระดับปริญญาตรี สาขาเศรษฐศาสตร์ วิทยาลัยเซนต์แมรี ,หัวหน้าพรรคเพื่อธรรม,เพื่อธรรม
หม่อมราชวงศ์,ดำรงดิศ,ดิศกุล,สำเร็จการศึกษาระดับปริญญาตรี สาขาคณิตศาสตร์ วิทยาลัยเซนต์วินเซ็น,หัวหน้าพรรคภราดรภาพ,ภราดรภาพ
