ElecNo,MPNo,PartyName,NameTitle,MPFirstName,MPLastName,PartyStatus
4,23,ครูไทยเพื่อประชาชน,นาย,วุฒิวัฒน์ ,ธนินพัฒนรัตน์,ยังดำเนินการอยู่
4,24,ประชาธิปไตยใหม่,นางสาว,ปุณณ์ภัสสร ,จีรวิวัฒนชัย,ยังดำเนินการอยู่
4,25,พลังรัก,นาย,ณัฐรัตน์ ,ไหลพิริยกุล,ยังดำเนินการอยู่
4,26,มติประชา,นาย,นิพนธ์ ,ฐิติภัค,ยังดำเนินการอยู่
4,27,ประชาธรรมไทย,นาง,กาญจนาภา ,สิทธิคุณาพันธุ์,ยังดำเนินการอยู่
4,28,พลังไทสร้างชาติ,นาย,สมพิศ ,ผอบเพ็ชร,ยังดำเนินการอยู่
4,29,พลเมืองไทย,นางสาว,จิรากัญ ,มากบุญธรรม,ยังดำเนินการอยู่
4,30,พลังศรัทธา,นางสาว,ณัฐรมณ์ ,ลิ้นลา,ยังดำเนินการอยู่
4,31,ไทรักธรรม,นางสาว,ดารารัตน์,สีแดง,ยังดำเนินการอยู่
4,32,ภาคีเครือข่ายไทย,นาย,ฉัตรชัย,คงเกิด,ยังดำเนินการอยู่
5,1,ชาติพัฒนา,นาย,ยงยุทธ ,วงศ์ธีระสูตร,ยังดำเนินการอยู่
5,2,พลังประชารัฐ,นางสาว,อรพินทร์ ,เพชรทัต,ยังดำเนินการอยู่
5,3,ประชาชาติ,นาย,อภิเดช ,ชยานนท์เกสรี,ยังดำเนินการอยู่
5,4,ภูมิใจไทย,นาย,ธัชพงศ์ ,ชูดำ,ยังดำเนินการอยู่
5,5,ประชาชนปฏิรูป,นาย,สมชาย,ดุรงค์เดช,ยังดำเนินการอยู่
5,6,ไทยศรีวิไลย์,นางสาว,ณฐบดี ,อภิญญาตกุล,ยังดำเนินการอยู่
5,7,เสรีรวมไทย,นาย,กฤต ,เลิศเศรษฐการ,ยังดำเนินการอยู่
5,8,อนาคตใหม่,นาย,อดิศร ,โพธิ์อ่าน,ยังดำเนินการอยู่
5,9,ประชาธิปัตย์,นาย,ธนา,ชีรวินิจ,ยังดำเนินการอยู่
5,10,พลังธรรมใหม่,นางสาว,กรรธิมา ,สันติสุข,ยังดำเนินการอยู่
5,11,ชาติไทยพัฒนา,นาย,สุทักษ์ ,จิระรัตนวงศ์,ยังดำเนินการอยู่
5,12,ประชาภิวัฒน์,นาย,ศุภศักดิ์ ,บุญญะสุต,ยังดำเนินการอยู่
5,13,เพื่อไทย,นาย,ประเดิมชัย ,บุญช่วยเหลือ,ยังดำเนินการอยู่
5,14,เพื่อชาติ,นางสาว,สาวิตรี ,สาทสุทธิ,ยังดำเนินการอยู่
5,15,รักษ์ผืนป่าประเทศไทย,นาย,จักรทิพย์ ,ปัทมะทิน,ยังดำเนินการอยู่
5,16,ภราดรภาพ,นางสาว,น้องนุช,โทเอ,ยังดำเนินการอยู่
5,17,รวมพลังประชาชาติไทย,นาย,ภาณุพงศ์ ,บัวมาตร,ยังดำเนินการอยู่
5,18,พลังสังคม,นาย,สมเกียรติ ,มั่นคง,ยังดำเนินการอยู่
5,19,พลังปวงชนไทย,นาย,ทนัฏฐ์ ,ปานโสภณ,ยังดำเนินการอยู่
5,20,ประชานิยม,นาย,พนิต ,นุชน้อย,ยังดำเนินการอยู่
5,21,ประชาธิปไตยใหม่,นาย,ณัฐสุรัช ,หงษ์วิจิตปรีชา,ยังดำเนินการอยู่
5,22,พลังชาติไทย,นาย,พงศ์สัคค์ ,พุฒแก้ว,ยังดำเนินการอยู่
5,23,ครูไทยเพื่อประชาชน,นาย,กวิน,นิลพานิช,ยังดำเนินการอยู่
5,24,ชาติพันธุ์ไทย,นาง,เอื้องฟ้า,งามธุระ,ยังดำเนินการอยู่
5,25,พลังไทยรักไทย,นางสาว,สุรีพร,สัมโย,ยังดำเนินการอยู่
5,26,พลังท้องถิ่นไท,นาย,อนุรักษ์ ,รุ่งแจ้ง,ยังดำเนินการอยู่
5,27,มติประชา,นาย,สุชาติ ,สุวรรณปราโมทย์,ยังดำเนินการอยู่
5,28,ภาคีเครือข่ายไทย,นางสาว,ประภัสสร ,แก้วประเสริฐ,ยังดำเนินการอยู่
5,29,เศรษฐกิจใหม่,นาย,ปฎิวัติ ,ตรองจิตต์,ยังดำเนินการอยู่
5,30,มหาชน,นาย,ภูเบศร์ ,มงคลวัฒน์,ยังดำเนินการอยู่
5,31,พลังไทสร้างชาติ,นาย,มานพ,ศุขะพันธุ์,ยังดำเนินการอยู่
5,32,ประชาธรรมไทย,นาย,ณภัทร ,หลวงเมือง,ยังดำเนินการอยู่
5,33,พลังประชาธิปไตย,นาง,พิชญ์ดา ,เดอเยซูซ์,ยังดำเนินการอยู่
6,1,ภูมิใจไทย,นาย,อนุชาญ ,กวางทอง,ยังดำเนินการอยู่
6,2,เสรีรวมไทย,นาย,ภูวพัฒน์ ,ชนะสกล,ยังดำเนินการอยู่
6,3,เพื่อไทย,นาย,ประพนธ์ ,เนตรรังษี,ยังดำเนินการอยู่
6,4,ประชาชนปฏิรูป,ร้อยตำรวจโท,รพีพจน์ ,เจิมเทียนชัย,ยังดำเนินการอยู่
6,5,ประชานิยม,นาย,สังวน,เจิมแป้น,ยังดำเนินการอยู่
6,6,ชาติพัฒนา,นาย,ณัฏฐ์ปิยะ ,กุลจิรารวีนิภา,ยังดำเนินการอยู่
6,7,รวมพลังประชาชาติไทย,นาง,ดวงกมล ,ดวงสร้อยทอง,ยังดำเนินการอยู่
